"url","duration","intake","programme_outline","entry_requirements","career_prospect__001","career_prospect__002","career_prospect__003","career_prospect__004","career_prospect__005","career_prospect__006","career_prospect__007","career_prospect__008","career_prospect__009","career_prospect__010","career_prospect__011","career_prospect__012","career_prospect__013","career_prospect__014","career_prospect__015","career_prospect__016","career_prospect__017","career_prospect__018"
"","","","Type in Motion OR Fashion Accessories","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A, English for Tertiary Studies, Academic English, English for Career Preparation, Tamadun Islam dan Asia, Contemporary Malaysian Issues, Hubungan Etnik, Critical Thinking,","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular","","","","","","","","","","","","","","","","","","",""
"","","","Co-Curricular Courses can be taken in any semester of the study","","","","","","","","","","","","","","","","","","",""
"https://foas.tarc.edu.my/programmes/diploma/dfn-food-science",":",":","Physical Chemistry","","Assistant Food Technologists","Assistant Food Chemists","Quality Control/Assurance Executives","Food Product Development Executives","Food Product Executives","Nutrition Executives","Assistant Food Microbiologists","Food Services Executives","Industrial/Retail Buyers","Marketing and Sales Executives","","","","","","","",""
"","","","Organic Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Inorganic Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Analytical Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Biology of the Cells","","","","","","","","","","","","","","","","","","",""
"","","","Human Physiology","","","","","","","","","","","","","","","","","","",""
"","","","Microbiology","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Food Science","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Nutrition","","","","","","","","","","","","","","","","","","",""
"","","","Introductory Foods","","","","","","","","","","","","","","","","","","",""
"","","","Food Physics","","","","","","","","","","","","","","","","","","",""
"","","","Food Chemistry","","","","","","","","","","","","","","","","","","",""
"","","","Human Nutrition","","","","","","","","","","","","","","","","","","",""
"","","","Food Toxicology","","","","","","","","","","","","","","","","","","",""
"","","","Food Technology","","","","","","","","","","","","","","","","","","",""
"","","","Food Microbiology","","","","","","","","","","","","","","","","","","",""
"","","","Food Analysis","","","","","","","","","","","","","","","","","","",""
"","","","Food Hygiene and Sanitation","","","","","","","","","","","","","","","","","","",""
"","","","Pre-Calculus","","","","","","","","","","","","","","","","","","",""
"","","","Calculus and Algebra","","","","","","","","","","","","","","","","","","",""
"","","","Statistics and Operations Research","","","","","","","","","","","","","","","","","","",""
"","","","Information Systems and Application","","","","","","","","","","","","","","","","","","",""
"","","","Business Organisation and Management","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, Bahasa Kebangsaan A, Penghayatan Etika dan Peradaban, Integrity and Anti-Corruption, Professional English, Civic Consciousness and Volunteerism, Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://fobe.tarc.edu.my/programmes/bachelors-degree/bachelor-of-real-estate-management-honours","3 ½ years","January, July & November","Introduction to Valuation","Please click","Graduates can be employed as:","Valuer","Estate Agent","Property Manager","Property Market Researcher","Property Development Manager","Property Investment Manager","Leasing/Tenancy Officer or Executive","","","","","","","","","",""
"","","","Applied Valuation","here","","","","","","","","","","","","","","","","","",""
"","","","Investment Valuation","of this programme in the brochure of Faculty of Built Environment.","","","","","","","","","","","","","","","","","",""
"","","","Valuation of Special Properties","","","","","","","","","","","","","","","","","","",""
"","","","Statutory Valuation","","","","","","","","","","","","","","","","","","",""
"","","","Advanced Valuation","","","","","","","","","","","","","","","","","","",""
"","","","Professional Practice","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management","","","","","","","","","","","","","","","","","","",""
"","","","Facilities Management","","","","","","","","","","","","","","","","","","",""
"","","","Property Management","","","","","","","","","","","","","","","","","","",""
"","","","Property Market Research","","","","","","","","","","","","","","","","","","",""
"","","","Property Investment and Finance","","","","","","","","","","","","","","","","","","",""
"","","","Accounting & Financial Management","","","","","","","","","","","","","","","","","","",""
"","","","Building Maintenance Management","","","","","","","","","","","","","","","","","","",""
"","","","Building Construction Technology","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Economics","","","","","","","","","","","","","","","","","","",""
"","","","Land Economics","","","","","","","","","","","","","","","","","","",""
"","","","Real Estate Agency Practice","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Law","","","","","","","","","","","","","","","","","","",""
"","","","Property Law","","","","","","","","","","","","","","","","","","",""
"","","","Building By-Laws","","","","","","","","","","","","","","","","","","",""
"","","","Law of Property Taxation","","","","","","","","","","","","","","","","","","",""
"","","","Land Acquisition","","","","","","","","","","","","","","","","","","",""
"","","","GIS in Property Management","","","","","","","","","","","","","","","","","","",""
"","","","Town and Country Planning","","","","","","","","","","","","","","","","","","",""
"","","","Integrated Projects","","","","","","","","","","","","","","","","","","",""
"","","","Research Methodology","","","","","","","","","","","","","","","","","","",""
"","","","Project & Dissertation","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","BIM and IT","","","","","","","","","","","","","","","","","","",""
"","","","Property Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Building Science & Services","","","","","","","","","","","","","","","","","","",""
"","","","Property Technology (PropTech)","","","","","","","","","","","","","","","","","","",""
"","","","Building Maintenance Technology","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-Curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, English for Career Preparation, Falsafah dan Isu Semasa/Philosophy and Contemporary Issues, Penghayatan Etika dan Peradaban/Introduction to Leadership, Bahasa","","","","","","","","","","","","","","","","","","",""
"","","","Melayu Komunikasi 2","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A/","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship, Integrity and Anti-Corruption/Service Learning,","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://foet.tarc.edu.my/programmes/bachelor-degree/bachelor-of-manufacturing-industrial-technology-with-honours","3","","Technical Mathematics / Applied Mathematics for Technologist","","Industrial, Manufacturing, and Production Professionals","R&D Professionals","Automation & System Integration Professionals","Quality Assurance Executives","Sales and Service Professionals","Maintenance Specialist","","","","","","","","","","","",""
